Fecha;Usos.bicis.total
01/06/2014;967
01/07/2014;65516
01/08/2014;98422
01/09/2014;149913
01/10/2014;176421
01/11/2014;119726
01/12/2014;116491
01/01/2015;122905
01/02/2015;125235
01/03/2015;172034
01/04/2015;205993
01/05/2015;274194
01/06/2015;301369
01/07/2015;321946
01/08/2015;275836
01/09/2015;373141
01/10/2015;354328
01/11/2015;299389
01/12/2015;260847
01/01/2016;210086
01/02/2016;210878
01/03/2016;225600
01/04/2016;244189
01/05/2016;284541
01/06/2016;343936
01/07/2016;310968
01/08/2016;243882
01/09/2016;267580
01/10/2016;180498
01/11/2016;135559
01/12/2016;155420
01/01/2017;159603
01/02/2017;173821
01/03/2017;234021
01/04/2017;233863
01/05/2017;309374
01/06/2017;352963
01/07/2017;319728
01/08/2017;258516
01/09/2017;378368
01/10/2017;384074
01/11/2017;313031
01/12/2017;232860
01/01/2018;237587
01/02/2018;214247
01/03/2018;197610
01/04/2018;275595
01/05/2018;331565
01/06/2018;358492
01/07/2018;358312
01/08/2018;292585
01/09/2018;415864
01/10/2018;357452
01/11/2018;279784
01/12/2018;254769
01/01/2019;259342
01/02/2019;284654
01/03/2019;334685
01/04/2019;269931
01/05/2019;376969
01/06/2019;384601
01/07/2019;367861
01/08/2019;271333
01/09/2019;403515
01/10/2019;418417
01/11/2019;304227
01/12/2019;220443
01/01/2020;253502
01/02/2020;320090
01/03/2020;137605
01/04/2020;8462
01/05/2020;244214
